delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
xpressbees,clothing,bike,express,north,rainy,189.3,0.67,9,5,yes,delayed,2,998.09
dhl,groceries,truck,same day,central,rainy,7.5,20.39,2,8,no,delivered,4,198.67
shadowfax,automobile parts,truck,two day,west,clear,82.6,35.56,3,16,no,delivered,4,519.68
delhivery,clothing,ev van,standard,central,foggy,142.0,17.22,3,24,no,delivered,5,761.66
ecom express,electronics,scooter,two day,south,rainy,273.1,25.97,11,16,no,delivered,5,1443.41
dhl,furniture,van,two day,central,hot,51.9,17.25,1,16,no,delivered,5,311.25
delhivery,electronics,bike,two day,south,stormy,23.2,20.35,3,16,no,delivered,5,177.05
amazon logistics,automobile parts,van,same day,north,cold,159.3,23.77,5,8,no,delivered,5,967.81
shadowfax,automobile parts,ev van,same day,central,clear,168.3,43.54,3,8,no,delivered,5,1072.12
shadowfax,clothing,ev bike,standard,north,hot,294.6,40.75,10,24,no,delivered,4,1595.25
delhivery,clothing,van,standard,west,rainy,162.8,47.59,8,24,no,delivered,5,956.77
xpressbees,fragile items,truck,two day,south,hot,6.0,12.64,1,16,no,delivered,3,95.6674
shadowfax,furniture,ev van,two day,west,hot,201.1,23.27,6,16,no,delivered,5,1075.31
amazon logistics,fragile items,van,two day,south,rainy,62.5,34.21,6,16,no,delivered,4,415.13
amazon logistics,automobile parts,scooter,same day,north,cold,244.4,25.62,6,8,no,delivered,3,1398.86
blue dart,groceries,ev van,same day,central,foggy,133.0,20.61,6,8,no,delivered,4,826.83
blue dart,documents,ev van,standard,south,stormy,259.0,8.08,14,24,no,delivered,4,1319.24
ecom express,pharmacy,truck,standard,west,hot,53.5,28.58,2,24,no,delivered,3,353.24
fedex,pharmacy,bike,standard,north,stormy,179.4,47.15,9,24,no,delivered,4,1038.45
dhl,groceries,bike,express,central,cold,211.0,37.73,7,6,yes,delayed,3,1218.19
ekart,documents,bike,express,west,clear,13.9,24.14,1,2,no,delivered,4,191.92
shadowfax,documents,ev bike,same day,east,stormy,142.8,29.73,9,8,yes,delayed,3,903.19
xpressbees,furniture,scooter,two day,central,hot,204.3,7.47,7,16,no,delivered,3,1043.91
delhivery,groceries,bike,same day,east,clear,187.3,34.48,8,8,yes,delayed,2,1139.94
fedex,furniture,ev bike,two day,south,foggy,32.8,31.11,4,16,no,delivered,3,257.33
ecom express,electronics,van,express,south,cold,11.0,14.8,2,2,yes,delayed,3,149.4
ekart,fragile items,truck,two day,west,rainy,65.9,48.8,5,16,no,delivered,5,475.9
ekart,cosmetics,scooter,two day,east,clear,72.8,12.09,4,16,no,delivered,4,400.27
amazon logistics,automobile parts,scooter,express,east,foggy,179.8,18.52,5,5,yes,delayed,3,1004.56
delhivery,fragile items,scooter,express,west,stormy,8.1,24.45,4,2,yes,delayed,3,163.85
dhl,pharmacy,truck,two day,west,clear,82.5,46.77,2,16,no,delivered,4,552.81
fedex,documents,ev van,two day,west,foggy,70.7,17.8,5,16,no,delivered,4,406.9
amazon logistics,pharmacy,ev van,express,west,stormy,251.0,28.81,12,7,yes,failed,1,1391.43
blue dart,pharmacy,bike,standard,west,cold,107.1,15.43,3,24,no,delivered,4,581.79
dhl,automobile parts,ev bike,same day,west,hot,216.5,5.26,4,8,no,delivered,5,1198.28
blue dart,documents,ev bike,two day,central,clear,247.7,18.84,7,16,no,delivered,5,1295.02
amazon logistics,electronics,bike,express,west,cold,212.7,41.02,6,6,yes,delayed,3,1236.56
shadowfax,clothing,truck,standard,north,stormy,34.6,19.47,6,24,no,delivered,3,231.41
fedex,clothing,van,same day,central,cold,221.9,29.46,8,8,yes,delayed,3,1297.88
dhl,pharmacy,scooter,two day,south,rainy,254.9,36.13,14,16,no,delivered,4,1382.89
blue dart,clothing,ev bike,two day,west,clear,113.1,26.49,2,16,no,delivered,5,644.97
ecom express,clothing,ev van,two day,west,foggy,266.4,14.95,9,16,no,delivered,4,1376.85
shadowfax,groceries,truck,express,west,foggy,207.1,49.52,8,6,yes,delayed,2,1234.12
ekart,fragile items,scooter,express,east,foggy,213.4,13.53,4,6,no,delivered,5,1157.59
dhl,groceries,van,standard,east,cold,164.4,8.86,5,24,no,delivered,5,848.58
xpressbees,documents,truck,standard,north,foggy,115.7,38.85,8,24,no,delivered,3,695.05
xpressbees,documents,ev van,two day,south,rainy,97.0,0.67,8,16,no,delivered,4,485.9
fedex,fragile items,ev bike,two day,north,cold,239.8,24.08,9,16,no,delivered,5,1271.24
ekart,groceries,ev bike,same day,central,cold,252.0,18.67,8,8,yes,delayed,2,1416.01
shadowfax,groceries,ev bike,two day,central,hot,100.2,13.09,2,16,no,delivered,4,540.27
shadowfax,cosmetics,ev bike,express,north,clear,189.8,22.85,5,5,no,delivered,5,1067.55
shadowfax,groceries,scooter,two day,central,cold,217.2,25.44,6,16,no,delivered,3,1162.32
delhivery,groceries,bike,express,west,clear,65.1,21.27,4,3,yes,delayed,3,439.31
fedex,cosmetics,ev van,express,south,hot,189.4,45.57,4,5,no,delivered,5,1133.71
shadowfax,documents,truck,same day,north,hot,102.5,49.1,2,8,no,delivered,4,759.8
ecom express,furniture,ev van,standard,west,foggy,82.7,3.78,4,24,no,delivered,5,424.84
fedex,pharmacy,ev bike,express,north,rainy,95.5,43.67,6,3,yes,failed,2,658.51
dhl,clothing,van,express,north,clear,98.5,27.62,5,3,yes,delayed,3,625.36
shadowfax,clothing,truck,express,north,clear,149.0,22.97,5,4,yes,delayed,2,863.91
blue dart,fragile items,truck,same day,north,rainy,107.0,37.65,5,8,no,delivered,4,747.95
delhivery,documents,ev van,express,north,foggy,216.0,36.57,5,6,no,delivered,5,1239.71
xpressbees,groceries,van,standard,south,foggy,269.9,40.56,9,24,no,delivered,5,1471.18
ecom express,pharmacy,van,same day,central,stormy,232.1,5.41,12,8,yes,failed,1,1276.73
amazon logistics,electronics,van,standard,south,clear,165.6,2.82,7,24,no,delivered,5,836.46
shadowfax,electronics,bike,two day,south,hot,204.9,34.59,4,16,no,delivered,5,1128.27
delhivery,groceries,van,two day,central,clear,269.4,32.6,7,16,no,delivered,5,1444.8
ecom express,automobile parts,van,express,east,foggy,178.0,42.15,6,5,yes,delayed,3,1066.45
fedex,pharmacy,scooter,same day,north,clear,17.0,41.62,3,8,no,delivered,5,309.86
ekart,pharmacy,ev bike,same day,east,cold,90.0,24.04,3,8,no,delivered,4,622.12
ecom express,pharmacy,ev bike,same day,east,foggy,99.9,18.06,5,8,no,delivered,3,653.68
xpressbees,fragile items,scooter,standard,east,foggy,295.2,23.93,8,24,no,delivered,4,1547.79
xpressbees,fragile items,bike,two day,central,rainy,221.7,11.81,10,16,no,delivered,3,1143.93
ekart,electronics,truck,two day,west,rainy,129.0,8.75,7,16,no,delivered,5,671.25
ecom express,furniture,bike,same day,north,rainy,106.3,40.38,10,8,yes,delayed,2,752.64
fedex,furniture,bike,two day,south,clear,288.5,10.16,7,16,no,delivered,4,1472.98
fedex,documents,van,express,east,foggy,229.9,10.38,11,6,yes,delayed,3,1230.64
xpressbees,automobile parts,ev van,two day,west,clear,62.3,5.87,2,16,no,delivered,4,329.11
shadowfax,documents,bike,two day,south,clear,142.9,13.76,7,16,no,delivered,5,755.78
blue dart,fragile items,truck,same day,east,clear,68.5,1.68,4,8,no,delivered,4,447.54
ekart,electronics,truck,two day,south,clear,297.0,6.21,7,16,no,delivered,5,1503.63
dhl,pharmacy,scooter,standard,west,hot,172.0,25.94,5,24,no,delivered,3,937.82
ecom express,cosmetics,truck,standard,south,hot,25.3,43.25,2,24,no,delivered,4,256.25
xpressbees,furniture,truck,same day,east,hot,94.1,48.31,3,8,no,delivered,4,715.43
dhl,electronics,bike,express,central,cold,159.9,15.14,5,5,yes,failed,2,894.92
xpressbees,clothing,ev van,same day,central,foggy,154.4,19.93,7,8,no,delivered,5,931.79
xpressbees,pharmacy,scooter,express,east,foggy,66.9,11.23,8,3,yes,delayed,2,418.19
dhl,fragile items,van,two day,south,foggy,205.9,24.67,6,16,no,delivered,4,1103.51
dhl,pharmacy,bike,standard,north,foggy,70.8,32.42,3,24,no,delivered,5,451.26
ecom express,electronics,truck,two day,central,clear,294.9,42.02,7,16,no,delivered,4,1600.56
shadowfax,fragile items,truck,standard,east,rainy,247.5,14.0,11,24,no,delivered,4,1279.5
blue dart,furniture,bike,express,north,foggy,134.8,43.02,6,4,yes,delayed,3,853.06
xpressbees,electronics,scooter,standard,central,foggy,110.6,32.32,4,24,no,delivered,3,649.96
shadowfax,groceries,ev bike,same day,east,foggy,53.8,44.63,5,8,no,delivered,5,502.89
fedex,clothing,ev bike,same day,west,clear,26.2,12.12,1,8,no,delivered,5,267.36
xpressbees,automobile parts,scooter,two day,north,rainy,226.7,16.6,11,16,no,delivered,4,1183.3
ecom express,automobile parts,truck,standard,central,foggy,266.2,1.13,13,24,no,delivered,3,1334.39
ekart,electronics,ev bike,express,south,rainy,150.3,24.06,8,5,yes,delayed,2,873.68
dhl,pharmacy,van,two day,west,foggy,268.7,18.96,11,16,no,delivered,3,1400.38
blue dart,electronics,scooter,standard,south,rainy,284.8,47.41,9,24,no,delivered,5,1566.23
shadowfax,furniture,bike,same day,north,rainy,177.5,39.2,8,8,yes,delayed,2,1105.1
dhl,clothing,ev van,standard,east,cold,77.0,46.8,2,24,no,delivered,4,525.4
dhl,cosmetics,scooter,express,north,cold,245.3,38.65,6,6,no,delivered,5,1392.45
xpressbees,electronics,ev bike,two day,east,hot,66.4,16.86,4,16,no,delivered,3,382.58
dhl,automobile parts,scooter,two day,east,foggy,278.9,29.08,10,16,no,delivered,5,1481.74
fedex,documents,ev bike,standard,north,hot,58.0,34.22,2,24,no,delivered,4,392.66
dhl,documents,scooter,same day,east,clear,107.1,37.17,3,8,no,delivered,3,747.01
ekart,fragile items,truck,express,east,rainy,37.1,34.9,4,2,yes,delayed,2,340.2
blue dart,automobile parts,ev van,two day,east,hot,85.7,7.46,5,16,no,delivered,3,450.88
amazon logistics,electronics,ev bike,two day,north,cold,151.7,19.53,8,16,no,delivered,4,817.09
delhivery,electronics,bike,two day,west,clear,117.1,1.96,4,16,no,delivered,4,591.38
ekart,fragile items,truck,standard,south,foggy,189.0,15.35,11,24,no,delivered,4,991.05
xpressbees,automobile parts,scooter,two day,south,clear,110.4,38.58,5,16,no,delivered,3,667.74
blue dart,furniture,scooter,two day,central,cold,171.3,18.45,6,16,no,delivered,5,911.85
shadowfax,clothing,ev bike,two day,central,foggy,189.2,2.58,12,16,no,delivered,4,953.74
xpressbees,clothing,ev van,express,north,hot,277.8,49.49,7,7,no,delivered,4,1587.47
shadowfax,documents,ev van,same day,east,hot,264.8,9.49,6,8,no,delivered,5,1452.47
ekart,cosmetics,ev van,standard,south,clear,80.2,16.4,4,24,no,delivered,5,450.2
delhivery,electronics,van,express,west,cold,141.8,3.85,6,4,yes,delayed,3,770.55
amazon logistics,pharmacy,truck,two day,west,cold,30.7,43.87,1,16,no,delivered,4,285.11
ekart,fragile items,truck,same day,east,stormy,67.5,16.33,5,8,no,delivered,5,486.49
amazon logistics,clothing,ev bike,express,west,cold,88.9,12.69,3,3,no,delivered,4,532.57
blue dart,automobile parts,bike,same day,west,cold,286.3,40.39,7,8,no,delivered,5,1632.7206
blue dart,automobile parts,ev bike,standard,central,stormy,227.0,28.25,10,24,no,delivered,3,1219.75
amazon logistics,documents,ev bike,two day,central,stormy,269.1,46.51,10,16,no,delivered,5,1485.03
ecom express,clothing,ev van,same day,east,cold,90.3,37.95,3,8,no,delivered,5,665.35
amazon logistics,documents,truck,same day,north,rainy,257.8,11.49,12,8,yes,delayed,3,1423.47
xpressbees,documents,van,express,central,foggy,231.8,12.65,11,6,yes,delayed,3,1246.95
ekart,documents,van,standard,east,stormy,44.5,24.6,3,24,no,delivered,3,296.3
ecom express,automobile parts,truck,express,central,clear,97.2,27.69,4,3,yes,delayed,2,619.07
xpressbees,clothing,scooter,express,west,hot,213.7,23.74,10,6,yes,failed,2,1189.72
blue dart,documents,ev bike,express,east,stormy,98.5,26.91,6,3,yes,delayed,3,623.23
blue dart,fragile items,van,express,central,clear,76.3,49.52,4,3,yes,delayed,2,580.48
amazon logistics,electronics,scooter,same day,west,cold,297.1,20.95,9,8,yes,failed,1,1632.7206
ekart,electronics,ev bike,express,west,foggy,145.8,20.03,8,4,yes,failed,1,839.09
xpressbees,documents,van,express,east,clear,105.1,39.18,2,4,no,delivered,4,693.04
blue dart,automobile parts,bike,same day,south,clear,107.7,43.92,3,8,no,delivered,3,770.26
ekart,fragile items,truck,standard,south,rainy,185.8,15.04,6,24,no,delivered,3,974.12
ekart,automobile parts,truck,two day,west,foggy,193.9,43.97,9,16,no,delivered,4,1101.41
ekart,fragile items,scooter,same day,south,foggy,259.8,42.42,10,8,yes,delayed,3,1526.26
xpressbees,clothing,bike,express,west,stormy,197.5,14.37,8,5,yes,delayed,2,1080.61
ecom express,groceries,van,same day,west,stormy,281.3,12.3,12,8,yes,delayed,3,1543.4
ecom express,furniture,ev bike,two day,north,hot,172.7,35.04,4,16,no,delivered,5,968.62
xpressbees,clothing,ev bike,two day,north,foggy,148.5,36.72,8,16,no,delivered,5,852.66
blue dart,automobile parts,scooter,two day,west,foggy,235.9,36.38,10,16,no,delivered,5,1288.64
ecom express,pharmacy,van,standard,central,hot,64.8,1.94,2,24,no,delivered,5,329.82
fedex,fragile items,ev van,standard,east,clear,190.7,34.63,3,24,no,delivered,4,1057.39
fedex,documents,van,same day,west,cold,120.7,47.14,2,8,no,delivered,3,844.92
xpressbees,cosmetics,van,express,south,foggy,41.1,17.92,2,2,yes,delayed,2,309.26
xpressbees,electronics,ev bike,standard,south,stormy,96.1,7.64,4,24,no,delivered,4,503.42
ecom express,electronics,van,two day,south,clear,190.1,30.9,5,16,no,delivered,3,1043.2
shadowfax,pharmacy,ev van,express,central,clear,282.6,8.56,6,7,no,delivered,5,1488.68
shadowfax,electronics,van,two day,west,clear,166.0,10.92,5,16,no,delivered,5,862.76
xpressbees,documents,van,same day,south,foggy,124.5,3.08,9,8,yes,delayed,2,731.74
ekart,fragile items,truck,standard,north,hot,268.6,13.31,8,24,no,delivered,3,1382.93
ekart,furniture,ev bike,standard,central,cold,60.6,31.6,3,24,no,delivered,4,397.8
shadowfax,groceries,van,same day,south,stormy,25.3,11.58,3,8,no,delivered,3,261.24
delhivery,documents,scooter,same day,south,foggy,97.6,27.54,5,8,no,delivered,5,670.62
ekart,cosmetics,van,express,west,stormy,27.1,38.69,4,2,yes,delayed,3,301.57
xpressbees,automobile parts,scooter,standard,north,rainy,126.4,23.19,6,24,no,delivered,4,701.57
ecom express,cosmetics,scooter,same day,south,rainy,73.1,43.5,8,8,yes,failed,2,596.0
fedex,groceries,ev bike,standard,east,cold,57.1,10.64,2,24,no,delivered,5,317.42
dhl,groceries,van,standard,north,cold,58.6,48.76,2,24,no,delivered,5,439.28
dhl,electronics,scooter,express,central,cold,75.4,10.77,4,3,yes,delayed,3,459.31
xpressbees,clothing,ev bike,express,central,cold,162.5,32.77,6,5,yes,delayed,2,960.81
fedex,documents,ev bike,express,central,hot,3.6,27.09,1,2,no,delivered,5,138.77
delhivery,groceries,scooter,express,east,cold,185.5,14.24,6,5,yes,delayed,3,1020.22
fedex,automobile parts,scooter,same day,east,clear,211.5,10.56,7,8,no,delivered,5,1189.18
dhl,fragile items,ev bike,same day,south,clear,214.7,4.32,6,8,no,delivered,5,1186.46
xpressbees,clothing,scooter,standard,north,cold,152.8,39.66,4,24,no,delivered,5,882.98
amazon logistics,documents,ev van,standard,north,clear,139.8,8.39,3,24,no,delivered,4,724.17
ecom express,electronics,truck,same day,north,rainy,180.9,31.68,9,8,yes,failed,1,1099.54
shadowfax,electronics,truck,same day,north,foggy,90.4,9.59,3,8,no,delivered,3,580.77
dhl,groceries,truck,standard,west,stormy,35.2,27.73,5,24,no,delivered,4,259.19
dhl,automobile parts,bike,two day,west,rainy,153.0,5.2,6,16,no,delivered,5,780.6
blue dart,clothing,ev bike,standard,west,cold,260.3,18.72,10,24,no,delivered,3,1357.66
ecom express,cosmetics,truck,same day,south,foggy,146.4,32.77,7,8,no,delivered,4,930.31
amazon logistics,groceries,scooter,standard,north,hot,84.6,40.64,3,24,no,delivered,4,544.92
amazon logistics,furniture,ev bike,two day,north,hot,64.2,46.92,2,16,no,delivered,4,461.76
ekart,fragile items,scooter,same day,central,clear,20.8,43.63,2,8,no,delivered,5,334.89
ekart,fragile items,van,two day,central,cold,277.5,12.06,6,16,no,delivered,5,1423.68
amazon logistics,fragile items,truck,two day,north,rainy,99.0,9.95,6,16,no,delivered,5,524.85
fedex,groceries,scooter,standard,west,stormy,269.6,13.09,11,24,no,delivered,3,1387.27
xpressbees,electronics,bike,two day,central,stormy,283.6,48.68,10,16,no,delivered,4,1564.04
fedex,automobile parts,scooter,standard,central,clear,133.9,49.12,4,24,no,delivered,3,816.86
dhl,automobile parts,ev bike,same day,south,cold,127.2,49.31,2,8,no,delivered,3,883.93
shadowfax,fragile items,van,same day,west,clear,95.4,34.71,3,8,no,delivered,4,681.13
amazon logistics,furniture,ev bike,two day,central,foggy,191.8,21.35,8,16,no,delivered,4,1023.05
dhl,documents,bike,same day,central,rainy,64.9,41.51,7,8,no,delivered,4,549.03
amazon logistics,clothing,scooter,same day,west,rainy,102.0,43.38,4,8,no,delivered,5,740.14
ekart,groceries,scooter,two day,south,clear,89.0,14.94,5,16,no,delivered,4,489.82
dhl,groceries,bike,standard,west,clear,112.9,14.57,5,24,no,delivered,5,608.21
ecom express,documents,truck,standard,north,clear,23.3,49.19,1,24,no,delivered,3,264.07
ecom express,automobile parts,scooter,standard,north,hot,159.2,30.24,6,24,no,delivered,5,886.72
ecom express,pharmacy,van,standard,north,clear,28.4,49.52,0,24,no,delivered,4,291.7
ekart,documents,ev van,express,east,stormy,235.3,31.95,9,6,yes,delayed,2,1322.35
amazon logistics,pharmacy,scooter,two day,north,rainy,126.7,49.52,7,16,no,delivered,4,782.45
ecom express,cosmetics,scooter,express,north,clear,221.1,26.14,8,6,yes,failed,1,1233.92
ecom express,furniture,ev van,two day,central,clear,40.0,40.74,2,16,no,delivered,4,322.22
delhivery,automobile parts,van,same day,east,cold,174.0,25.17,4,8,no,delivered,3,1045.51
xpressbees,automobile parts,scooter,express,west,cold,58.2,45.66,2,3,no,delivered,5,477.98
ecom express,groceries,ev bike,two day,east,stormy,174.3,17.39,9,16,no,delivered,5,923.67
xpressbees,furniture,bike,express,north,stormy,127.4,26.48,8,4,yes,delayed,3,766.44
ekart,clothing,van,standard,east,rainy,194.3,9.15,8,24,no,delivered,5,998.95
xpressbees,fragile items,scooter,two day,north,cold,28.1,40.38,1,16,no,delivered,5,261.64
delhivery,automobile parts,ev van,standard,west,foggy,270.6,16.08,9,24,no,delivered,4,1401.24
fedex,pharmacy,scooter,express,west,hot,145.2,0.67,7,4,yes,delayed,3,778.01
shadowfax,clothing,truck,standard,west,hot,202.2,10.77,6,24,no,delivered,4,1043.31
fedex,furniture,truck,two day,south,foggy,77.7,45.25,5,16,no,delivered,4,524.25
xpressbees,fragile items,van,same day,east,rainy,217.2,21.71,9,8,yes,failed,2,1251.13
ekart,electronics,bike,two day,west,foggy,282.1,6.53,11,16,no,delivered,5,1430.09
shadowfax,pharmacy,scooter,two day,east,cold,287.0,30.72,11,16,no,delivered,5,1527.16
shadowfax,pharmacy,ev van,express,central,hot,239.4,47.02,6,6,no,delivered,3,1388.06
shadowfax,furniture,truck,express,west,hot,120.7,36.82,7,4,yes,delayed,2,763.96
ekart,pharmacy,ev van,express,west,rainy,55.9,32.05,5,3,yes,delayed,3,425.65
ekart,automobile parts,truck,standard,west,rainy,80.5,31.03,6,24,no,delivered,5,495.59
ekart,clothing,scooter,two day,north,stormy,225.9,25.49,9,16,no,delivered,5,1205.97
fedex,pharmacy,van,standard,east,clear,85.6,21.17,2,24,no,delivered,3,491.51
shadowfax,fragile items,ev bike,express,west,clear,85.0,13.91,4,3,yes,failed,1,516.73
dhl,fragile items,scooter,express,east,stormy,82.9,27.26,3,3,yes,delayed,2,546.28
dhl,furniture,truck,standard,east,hot,97.0,4.76,4,24,no,delivered,5,499.28
ekart,automobile parts,ev van,two day,central,foggy,163.9,1.34,7,16,no,delivered,5,823.52
blue dart,documents,ev van,same day,central,rainy,209.1,29.88,8,8,yes,delayed,2,1235.14
shadowfax,groceries,van,two day,south,hot,117.4,16.95,3,16,no,delivered,4,637.85
amazon logistics,fragile items,scooter,same day,south,rainy,116.4,39.95,8,8,yes,failed,2,801.85
ekart,groceries,truck,express,north,clear,249.4,38.64,9,6,yes,delayed,2,1412.92
amazon logistics,groceries,truck,standard,west,hot,60.3,43.13,3,24,no,delivered,5,430.89
shadowfax,pharmacy,ev bike,same day,east,foggy,183.6,24.37,4,8,no,delivered,4,1091.11
blue dart,pharmacy,bike,same day,east,clear,167.1,42.63,6,8,no,delivered,4,1063.39
dhl,automobile parts,truck,standard,central,stormy,138.5,33.07,12,24,no,delivered,3,791.71
delhivery,pharmacy,bike,standard,east,cold,270.7,46.15,12,24,no,delivered,4,1491.95
delhivery,clothing,ev van,express,west,foggy,4.5,23.38,4,2,yes,delayed,2,142.64
dhl,electronics,ev van,standard,south,hot,241.0,33.75,5,24,no,delivered,5,1306.25
fedex,automobile parts,ev bike,standard,central,hot,122.9,12.61,3,24,no,delivered,4,652.33
amazon logistics,groceries,scooter,standard,north,hot,247.5,40.31,4,24,no,delivered,4,1358.43
blue dart,clothing,ev bike,express,east,foggy,136.2,36.73,5,4,yes,delayed,3,841.19
amazon logistics,documents,van,same day,central,clear,55.3,32.2,1,8,no,delivered,3,473.1
ekart,electronics,truck,two day,west,clear,169.9,7.54,5,16,no,delivered,3,872.12
blue dart,clothing,scooter,two day,north,stormy,292.0,23.38,15,16,no,delivered,4,1530.14
xpressbees,fragile items,van,express,central,stormy,33.3,49.11,6,2,yes,delayed,2,363.83
xpressbees,pharmacy,ev van,same day,south,clear,265.6,49.52,8,8,yes,delayed,2,1576.8
shadowfax,pharmacy,scooter,standard,east,rainy,187.3,47.72,11,24,no,delivered,4,1079.66
blue dart,electronics,van,two day,east,rainy,246.8,47.77,7,16,no,delivered,3,1377.31
blue dart,cosmetics,scooter,standard,south,hot,247.6,34.44,6,24,no,delivered,4,1341.32
dhl,automobile parts,scooter,standard,south,hot,37.7,32.4,4,24,no,delivered,4,285.7
fedex,automobile parts,van,same day,central,cold,119.8,43.83,3,8,no,delivered,3,830.49
ecom express,groceries,truck,express,west,rainy,172.3,23.01,8,5,yes,delayed,3,980.53
ekart,pharmacy,bike,express,central,cold,245.5,16.07,10,6,yes,delayed,2,1325.71
blue dart,documents,scooter,express,south,hot,90.7,43.68,2,3,no,delivered,4,634.54
ecom express,fragile items,ev bike,same day,south,clear,289.2,4.99,7,8,no,delivered,4,1560.97
blue dart,automobile parts,scooter,two day,east,stormy,13.8,19.93,3,16,no,delivered,4,128.79
delhivery,documents,van,same day,west,rainy,172.0,42.96,10,8,yes,delayed,2,1088.88
dhl,furniture,ev bike,same day,north,cold,195.1,40.32,6,8,no,delivered,4,1196.46
dhl,documents,ev bike,two day,south,foggy,173.1,19.8,6,16,no,delivered,4,924.9
shadowfax,pharmacy,ev van,two day,east,foggy,18.9,21.19,3,16,no,delivered,4,158.07
amazon logistics,documents,bike,standard,north,cold,136.7,19.53,3,24,no,delivered,4,742.09
ecom express,cosmetics,ev bike,express,east,rainy,58.6,37.99,7,3,yes,delayed,3,456.97
ekart,automobile parts,ev bike,express,north,stormy,163.7,14.99,8,5,yes,delayed,2,913.47
ecom express,fragile items,bike,two day,central,cold,110.4,25.08,6,16,no,delivered,5,627.24
shadowfax,clothing,ev van,same day,east,stormy,248.0,13.84,11,8,yes,delayed,3,1381.52
delhivery,clothing,scooter,two day,north,foggy,20.1,40.85,2,16,no,delivered,5,223.05
ecom express,fragile items,van,two day,east,rainy,128.6,48.75,7,16,no,delivered,5,789.25
blue dart,electronics,ev bike,two day,south,rainy,257.8,4.61,8,16,no,delivered,5,1302.83
shadowfax,groceries,truck,same day,east,cold,197.0,22.55,4,8,no,delivered,4,1152.65
amazon logistics,automobile parts,scooter,express,south,foggy,53.7,31.99,2,3,no,delivered,4,414.47
ekart,furniture,scooter,express,east,rainy,242.6,16.75,11,6,yes,delayed,3,1313.25
ekart,electronics,ev bike,standard,north,foggy,101.3,11.44,5,24,no,delivered,4,540.82
fedex,automobile parts,scooter,same day,south,clear,157.1,3.9,3,8,no,delivered,5,897.2
amazon logistics,cosmetics,van,same day,south,rainy,176.4,24.36,11,8,yes,delayed,2,1055.08
ekart,documents,ev bike,standard,west,cold,36.3,16.57,1,24,no,delivered,4,231.21
shadowfax,pharmacy,ev van,express,central,hot,198.8,1.47,5,5,no,delivered,4,1048.41
fedex,pharmacy,ev bike,same day,central,cold,205.5,27.3,6,8,no,delivered,5,1209.4
blue dart,furniture,van,two day,south,hot,190.7,32.35,7,16,no,delivered,4,1050.55
xpressbees,automobile parts,scooter,two day,south,clear,203.3,47.88,6,16,no,delivered,4,1160.14
amazon logistics,fragile items,ev van,standard,south,foggy,72.9,22.9,4,24,no,delivered,3,433.2
shadowfax,documents,truck,express,east,clear,69.9,18.23,4,3,yes,delayed,2,454.19
blue dart,automobile parts,van,same day,central,clear,75.4,8.24,4,8,no,delivered,5,501.72
blue dart,automobile parts,ev van,standard,south,rainy,79.9,36.72,6,24,no,delivered,4,509.66
dhl,electronics,ev bike,standard,west,clear,109.4,0.67,3,24,no,delivered,3,548.53
fedex,documents,van,two day,south,cold,75.8,46.43,4,16,no,delivered,3,518.29
fedex,pharmacy,scooter,same day,south,stormy,290.2,12.2,14,8,yes,delayed,3,1587.6
ekart,fragile items,bike,same day,east,cold,26.0,6.45,2,8,no,delivered,5,249.35
fedex,cosmetics,truck,standard,west,rainy,254.7,28.17,11,24,no,delivered,4,1358.01
ekart,pharmacy,bike,same day,central,stormy,107.7,30.54,6,8,no,delivered,5,730.12
xpressbees,documents,scooter,two day,west,rainy,182.7,31.27,11,16,no,delivered,5,1007.31
amazon logistics,electronics,ev bike,two day,west,stormy,95.7,11.68,6,16,no,delivered,5,513.54
shadowfax,automobile parts,bike,standard,central,stormy,270.7,41.15,14,24,no,delivered,5,1476.95
delhivery,furniture,ev van,standard,west,clear,20.8,3.55,2,24,no,delivered,4,114.65
ecom express,furniture,van,same day,north,stormy,80.0,49.29,9,8,yes,delayed,2,647.87
delhivery,automobile parts,ev van,two day,north,rainy,288.3,23.96,15,16,no,delivered,3,1513.38
ecom express,clothing,scooter,standard,east,rainy,108.0,12.12,6,24,no,delivered,5,576.36
delhivery,documents,van,standard,north,cold,76.2,30.19,2,24,no,delivered,4,471.57
fedex,fragile items,ev van,standard,west,hot,89.7,19.98,3,24,no,delivered,4,508.44
delhivery,documents,truck,two day,west,clear,35.4,4.84,3,16,no,delivered,4,191.52
delhivery,automobile parts,ev bike,express,central,clear,102.6,11.82,5,4,yes,delayed,2,598.46
xpressbees,fragile items,ev bike,same day,north,clear,96.2,35.27,2,8,no,delivered,4,686.81
xpressbees,electronics,ev bike,standard,west,stormy,84.4,40.1,9,24,no,delivered,4,542.3
blue dart,furniture,van,standard,central,hot,25.3,23.72,2,24,no,delivered,5,197.66
ecom express,cosmetics,van,same day,north,hot,178.8,27.07,6,8,no,delivered,5,1075.21
ekart,furniture,bike,express,west,clear,206.3,22.36,6,6,yes,delayed,3,1148.58
ekart,clothing,scooter,standard,central,rainy,211.1,8.56,10,24,no,delivered,4,1081.18
ekart,electronics,bike,express,north,rainy,49.3,21.81,3,2,yes,failed,1,361.93
